has_profile_pic,num_posts,num_followers,num_following,bio_len,text_content,is_fake
1,40,31,352,23,Can't wait for the weekend!,0
1,30,69,506,41,Can't wait for the weekend! Happy birthday to me! Can't wait for the weekend!,0
0,8,59,1083,2,Best deals on crypto. Win a free iPhone now.,1
0,1,15,985,9,DM for collaboration.,1
1,49,456,300,27,Can't wait for the weekend! Working on my new project.,0
1,68,142,626,22,Had an amazing trip with friends. Can't wait for the weekend!,0
0,7,13,799,1,Visit my profile for more. Discount codes available. Make money online fast.,1
1,66,830,425,20,Working on my new project. Learning Python is fun! Working on my new project.,0
0,5,19,813,5,Follow for follow back. Win a free iPhone now. Make money online fast.,1
1,17,3883,123,26,Loving the weather today. Working on my new project.,0
1,37,542,370,33,Learning Python is fun! Loving the weather today.,0
1,36,262,319,38,Had an amazing trip with friends. Check out my latest photo. Happy birthday to me!,0
1,35,107,179,39,Learning Python is fun! Can't wait for the weekend! Working on my new project.,0
1,50,808,388,18,Learning Python is fun! Life is good.,0
1,45,961,372,33,Loving the weather today.,0
0,3,18,808,7,Cheap luxury bags. DM for collaboration. Win a free iPhone now.,1
1,37,938,382,45,Had an amazing trip with friends. Life is good.,0
0,12,29,717,5,DM for collaboration.,1
0,9,8,993,7,Win a free iPhone now. Cheap luxury bags.,1
0,0,30,938,10,Earn $500 daily easily!,1
1,14,5,815,2,Earn $500 daily easily!,1
1,57,121,288,36,Exploring new places. Just had a great coffee!,0
1,40,841,451,35,Can't wait for the weekend! Learning Python is fun! Had an amazing trip with friends.,0
0,1,2,944,2,Win a free iPhone now. Follow for follow back.,1
0,4,0,775,3,Best deals on crypto. Cheap luxury bags.,1
0,0,22,799,7,Win a free iPhone now. Cheap luxury bags. Cheap luxury bags.,1
1,67,206,431,15,Loving the weather today. Had an amazing trip with friends.,0
1,3,31,1107,2,Make money online fast.,1
1,65,853,339,18,Had an amazing trip with friends.,0
1,62,417,411,19,Learning Python is fun! Working on my new project.,0
0,1,3,1021,1,Discount codes available. Cheap luxury bags.,1
1,35,1081,296,23,Can't wait for the weekend!,0
1,61,517,200,29,Working on my new project.,0
0,5,2,771,2,Discount codes available.,1
0,6,9,736,8,Discount codes available.,1
1,21,176,292,31,Learning Python is fun!,0
1,21,878,332,30,Just had a great coffee! Life is good. Exploring new places.,0
1,20,492,259,38,Happy birthday to me! Life is good.,0
0,0,10,1029,3,DM for collaboration. Follow for follow back.,1
1,51,950,139,11,Loving the weather today. Happy birthday to me!,0
0,13,2,1432,1,Earn $500 daily easily! Click here for free money!,1
0,0,35,662,4,Earn $500 daily easily! Best deals on crypto.,1
0,0,28,1322,6,Visit my profile for more. Win a free iPhone now.,1
1,63,209,231,8,Life is good. Just had a great coffee!,0
1,66,1104,280,21,Life is good. Life is good. Learning Python is fun!,0
1,31,12,268,26,Just had a great coffee! Learning Python is fun!,0
1,15,582,476,37,Just had a great coffee! Can't wait for the weekend!,0
1,23,1461,404,26,Life is good. Just had a great coffee!,0
1,16,334,388,31,Just had a great coffee!,0
1,46,388,284,27,Just had a great coffee!,0
1,12,26,1179,9,Cheap luxury bags.,1
1,76,47,369,8,Exploring new places. Working on my new project.,0
